epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,10872.7,1.0171,2.48239,1.583,0.51853,0.50561,0.52324,0.39426,1.16153,2.27567,1.31784,0.000787503,0.000787503,0.000787503
94,10988.3,1.01825,2.47394,1.58186,0.51704,0.50568,0.52317,0.39461,1.16048,2.27152,1.31706,0.000783231,0.000783231,0.000783231
95,11104.5,1.01288,2.4473,1.57822,0.52096,0.50669,0.52445,0.39546,1.15979,2.26733,1.31632,0.000778929,0.000778929,0.000778929
96,11220.4,1.01457,2.45305,1.57999,0.52214,0.50806,0.52534,0.39651,1.15947,2.26201,1.3161,0.000774596,0.000774596,0.000774596
97,11336.3,1.01114,2.4367,1.57404,0.5175,0.50846,0.52347,0.39531,1.15836,2.25764,1.31509,0.000770234,0.000770234,0.000770234
98,11452.1,1.009,2.44081,1.57802,0.52582,0.51068,0.52844,0.39861,1.15691,2.2532,1.3131,0.000765843,0.000765843,0.000765843
99,11568.6,1.01128,2.44106,1.57667,0.52214,0.51176,0.52702,0.39807,1.1562,2.24912,1.313,0.000761423,0.000761423,0.000761423
100,11684.8,1.00839,2.43098,1.57607,0.5292,0.51304,0.53133,0.401,1.15473,2.2451,1.31108,0.000756976,0.000756976,0.000756976
101,11800.4,1.00049,2.41199,1.56682,0.5294,0.51458,0.53206,0.40152,1.15355,2.23982,1.31004,0.0007525,0.0007525,0.0007525
102,11916.1,1.00773,2.41853,1.57359,0.52397,0.51611,0.52998,0.40055,1.15252,2.23491,1.30919,0.000747997,0.000747997,0.000747997
103,12032,1.00323,2.39461,1.56854,0.52585,0.5165,0.5305,0.40091,1.15147,2.23029,1.30824,0.000743468,0.000743468,0.000743468
104,12147.5,0.99701,2.39307,1.56878,0.52534,0.51866,0.53137,0.40215,1.1507,2.22537,1.30742,0.000738913,0.000738913,0.000738913
105,12264.7,1.00989,2.40512,1.57362,0.5242,0.51858,0.53221,0.40253,1.14984,2.22133,1.3068,0.000734332,0.000734332,0.000734332
106,12381.3,1.00223,2.37522,1.56664,0.52649,0.52102,0.53426,0.40439,1.1492,2.21664,1.30594,0.000729725,0.000729725,0.000729725
107,12497.4,1.00193,2.38455,1.5691,0.52753,0.52162,0.53485,0.40472,1.14857,2.21231,1.30538,0.000725094,0.000725094,0.000725094
108,12614,1.00262,2.38422,1.57025,0.52868,0.52325,0.5366,0.40617,1.14778,2.20636,1.30437,0.000720439,0.000720439,0.000720439
109,12729.6,0.99365,2.34938,1.56289,0.52859,0.52604,0.53742,0.40708,1.14701,2.20246,1.30325,0.000715761,0.000715761,0.000715761
110,12846.1,0.99096,2.36372,1.56277,0.52965,0.52636,0.53883,0.40763,1.14674,2.19705,1.30262,0.000711059,0.000711059,0.000711059
111,12962.1,0.99035,2.35172,1.55725,0.5307,0.52912,0.53962,0.40853,1.1461,2.19304,1.30197,0.000706335,0.000706335,0.000706335
112,13079.1,0.99741,2.36642,1.56632,0.52139,0.53149,0.537,0.40651,1.14545,2.18785,1.30101,0.000701588,0.000701588,0.000701588
113,13195,0.99151,2.33895,1.55903,0.52146,0.5341,0.5382,0.40748,1.14512,2.18175,1.3002,0.00069682,0.00069682,0.00069682
114,13310.3,0.99794,2.34133,1.56103,0.52145,0.53434,0.53924,0.40802,1.14475,2.17646,1.29972,0.000692031,0.000692031,0.000692031
115,13425.8,0.99641,2.33331,1.56479,0.5214,0.53485,0.54022,0.40875,1.14433,2.17286,1.29911,0.000687222,0.000687222,0.000687222
116,13542.5,0.99115,2.32119,1.55749,0.52125,0.5375,0.54152,0.40955,1.14376,2.16922,1.29832,0.000682392,0.000682392,0.000682392
117,13658.2,0.99293,2.31884,1.56015,0.52113,0.53997,0.5429,0.41052,1.1432,2.16431,1.29729,0.000677543,0.000677543,0.000677543
118,13773.4,0.98828,2.32123,1.55512,0.51965,0.54084,0.54309,0.41107,1.14214,2.15947,1.29592,0.000672675,0.000672675,0.000672675
119,13890.7,0.99111,2.3199,1.55595,0.52887,0.54145,0.54734,0.41344,1.14185,2.15526,1.29531,0.000667789,0.000667789,0.000667789
120,14006.5,0.98903,2.2909,1.55415,0.52696,0.54398,0.54784,0.41372,1.14108,2.15154,1.29466,0.000662885,0.000662885,0.000662885
121,14123,0.98603,2.29469,1.55342,0.52625,0.54522,0.54879,0.4146,1.14075,2.14697,1.2946,0.000657963,0.000657963,0.000657963
122,14238.8,0.98039,2.29338,1.55252,0.52565,0.54522,0.54839,0.41377,1.14002,2.14338,1.29432,0.000653025,0.000653025,0.000653025
123,14353.8,0.98632,2.27853,1.55508,0.52391,0.5469,0.54937,0.41461,1.13899,2.13986,1.29294,0.000648071,0.000648071,0.000648071
124,14471.5,0.98739,2.29033,1.55274,0.52385,0.54754,0.55009,0.41516,1.13833,2.13665,1.29191,0.000643101,0.000643101,0.000643101
125,14587.4,0.98339,2.27983,1.54868,0.52531,0.54842,0.55114,0.41588,1.13758,2.13316,1.29136,0.000638115,0.000638115,0.000638115
126,14703,0.98237,2.26116,1.54577,0.52647,0.55187,0.55237,0.41683,1.13679,2.12985,1.29058,0.000633115,0.000633115,0.000633115
127,14818.5,0.98127,2.27884,1.55014,0.52587,0.55437,0.55327,0.41711,1.136,2.12688,1.28961,0.000628101,0.000628101,0.000628101
128,14934.9,0.97823,2.26684,1.54635,0.52587,0.55697,0.55408,0.41807,1.13517,2.12349,1.28855,0.000623074,0.000623074,0.000623074
129,15051.6,0.98099,2.26825,1.54446,0.52734,0.55712,0.55532,0.419,1.13474,2.12057,1.288,0.000618034,0.000618034,0.000618034
130,15168.1,0.97975,2.24605,1.54185,0.52529,0.55834,0.55488,0.41874,1.1339,2.1183,1.28691,0.000612981,0.000612981,0.000612981
131,15283.9,0.97281,2.23132,1.53682,0.52562,0.55929,0.5566,0.42015,1.13347,2.11482,1.28647,0.000607916,0.000607916,0.000607916
132,15399.9,0.97213,2.23416,1.54237,0.5265,0.56277,0.55767,0.42116,1.133,2.11181,1.28606,0.00060284,0.00060284,0.00060284
133,15514.7,0.97936,2.24247,1.54371,0.52864,0.56302,0.55851,0.42196,1.13229,2.10835,1.28547,0.000597754,0.000597754,0.000597754
134,15630,0.97654,2.22083,1.5374,0.53005,0.56471,0.55994,0.42273,1.13185,2.10494,1.28522,0.000592657,0.000592657,0.000592657
135,15745.3,0.97458,2.23363,1.5459,0.52986,0.5657,0.56064,0.42368,1.13126,2.10126,1.28488,0.000587551,0.000587551,0.000587551
136,15861.1,0.98081,2.24107,1.5464,0.52959,0.56504,0.56022,0.42299,1.13075,2.09804,1.28466,0.000582435,0.000582435,0.000582435
137,15976.9,0.96902,2.22489,1.5396,0.52683,0.56528,0.56023,0.42331,1.12993,2.09508,1.28363,0.000577311,0.000577311,0.000577311
138,16092.7,0.97128,2.22996,1.53478,0.527,0.56692,0.56058,0.42356,1.1289,2.09316,1.2828,0.000572179,0.000572179,0.000572179
139,16208.2,0.96863,2.19824,1.5375,0.52714,0.56815,0.56189,0.42472,1.12782,2.09063,1.28178,0.00056704,0.00056704,0.00056704
140,16324.5,0.97389,2.21646,1.53729,0.53515,0.55737,0.56211,0.42517,1.12741,2.08896,1.28168,0.000561894,0.000561894,0.000561894
141,16440.1,0.96642,2.18624,1.5368,0.53326,0.56095,0.56246,0.42548,1.12657,2.08635,1.2804,0.000556742,0.000556742,0.000556742
